C,L,M,P,S,A,B
152.11,150.56,154.62,158.11,161.6,,
149.97,159.42,157.02,159.67,162.5,,
149.75,155.44,165.13,162,163.63,,
153,155.39,161.17,169.53,165.54,,
153.44,157.08,160.32,165.93,172.92,,
,,161.55,165,169,175.47,175
,,,164.71,167.37,172,177.43
