C,L,M,P,S,A,B
130.83,139.45,142.22,144.39,150.01,,
137.95,144.37,148.58,150.99,151.68,,
136.49,146.51,152.87,155.78,156.08,,
137.88,144.87,152.93,158.93,160.2,,
138.59,145.54,151.89,158.73,163.93,165,165.56
,,,158.63,163.43,168.02,169
,,,158.58,163.06,167.37,170.93
