C,L,M,P,S,A,B
28.6,29.3,29.9,46.8,57.5,,
39.1,34.9,36,40.1,43.6,,
30,49.1,41,50.4,57.3,,
13.2,47.7,54.7,47.9,62.1,39.2,
,36.2,57,66.1,54.2,50,
,,52.8,62,66,61.8,
,,,,76.7,72,71.6
