C,L,M,P,S,A,B
47.5,55,25.3,74.6,87.2,,
46.3,61.1,76.2,75.2,81.1,,
35,69.5,73.4,86.6,94,,
19.6,87.1,75.6,85.7,104.8,80.4,
,71.3,67.4,99.5,97.1,95,
,,96.2,,,107.1,
,,,,,,113.3
