C,L,M,P,S,A,B
144.98,151.83,155.09,158.29,163.45,,
151.61,154.12,157.11,160.75,162.8,,
150.11,157.48,159.53,160.68,163.62,,
152.18,155.81,163.17,164.42,165.72,,
153.88,156.13,162.33,167.98,168.72,170,171.16
,,,166,167.25,171.32,172
,,,165.33,167.38,170,173.98
