Parameter,a modification,b' modification,b modiciation
ho,-25.58,-26.25,-22.13
h,2.65,3.48,3.78
so,-3.82,-13.65,11.78
s,6.43,10.23,11.55
hxy,-16.21,-22.33,-8.83
sxy,-46.95,-71.58,-31.43
k,3.67,2.31,0.01
xo,2.68,3.3,2.01
tinf,388.69,381.51,389.85
hodd,0,0,0
