Parameter,a modification,b' modification,b modiciation
aO,-1.4,-2.36,-1.28
aD,-0.43,-1.16,-1.47
aJ,-4.33,-3.98,-5.66
aN,-7.28,1.78,-5.68
aOO,-3.15,-0.74,-2.03
aDD,-1.58,0.1,0.27
aJJ,-2.01,-5.93,0.46
aNN,-3.73,-5.44,-0.01
aOJ,-0.12,-0.75,1.63
aON,3.04,1.99,1.37
aJN,-3.87,2.43,-3.56
bO,-9.11,-3.16,-14.33
bJ,11.38,7.59,6.39
bN,9.17,-100,5.98
