Parameter,a modification,b' modification,b modiciation
ho,-25.26,-26.36,-23.9
h,2.65,3.48,3.78
so,-2.47,-13.81,-7.62
s,5.92,9.71,11.55
hxy,-16.97,-22.13,-19.66
sxy,-45.51,-67.35,-66.92
k,3.78,2.28,3.92
xo,2.68,3.28,1.45
tinf,388.89,380.66,380
hodd,0,0,0
